1 	Jacksonville 	14.8 	14.7 	10.0 	19.6 	11.4 	25.0
2 	Minnesota 	17.0 	13.0 	9.0 	13.8 	20.2 	19.2
3 	Baltimore 	17.2 	12.0 	20.0 	16.5 	18.0 	20.1
4 	LA Chargers 	17.7 	13.3 	10.0 	17.2 	18.2 	26.4
5 	Pittsburgh 	17.8 	21.7 	20.0 	19.6 	16.4 	20.6
6 	Philadelphia 	17.9 	12.0 	24.0 	15.2 	20.7 	20.7
7 	LA Rams 	18.5 	20.0 	16.0 	15.8 	20.4 	24.6
8 	Seattle 	18.5 	19.0 	10.0 	21.0 	16.0 	18.6
9 	New England 	18.6 	9.3 	3.0 	24.2 	13.0 	16.4
10 	Carolina 	19.8 	26.3 	31.0 	20.6 	19.3 	25.1
11 	Cincinnati 	19.8 	18.7 	23.0 	18.5 	21.2 	19.7
12 	New Orleans 	20.2 	26.0 	21.0 	24.7 	15.8 	28.4
13 	Atlanta 	20.3 	21.7 	14.0 	17.8 	22.8 	25.3
14 	Chicago 	22.2 	24.3 	15.0 	18.3 	27.8 	24.9
15 	Kansas City 	22.8 	22.0 	38.0 	18.8 	25.7 	19.4
16 	Oakland 	23.2 	21.3 	17.0 	21.3 	25.0 	24.2
17 	Green Bay 	23.4 	24.7 	20.0 	20.9 	27.0 	25.1
18 	Tennessee 	23.5 	23.0 	13.0 	21.3 	25.7 	23.6
19 	Buffalo 	23.6 	29.0 	23.0 	23.2 	24.0 	23.6
20 	Dallas 	23.7 	26.3 	14.0 	24.1 	23.0 	20.0
21 	Tampa Bay 	24.0 	26.7 	26.0 	15.2 	30.3 	23.1
22 	NY Jets 	24.0 	27.0 	31.0 	23.1 	25.2 	25.6
23 	NY Giants 	24.2 	17.7 	24.0 	27.0 	22.3 	18.9
24 	Miami 	24.8 	24.7 	9.0 	20.8 	27.7 	24.1
25 	San Francisco 	24.8 	19.7 	14.0 	28.2 	21.5 	30.0
26 	Cleveland 	25.7 	22.7 	19.0 	20.0 	29.7 	28.2
27 	Detroit 	25.7 	32.7 	44.0 	25.7 	25.7 	22.6
28 	Houston 	25.8 	22.7 	24.0 	23.8 	27.7 	20.9
29 	Arizona 	25.8 	29.0 	32.0 	25.7 	26.0 	22.6
30 	Washington 	26.2 	27.3 	38.0 	24.2 	28.2 	23.9
31 	Denver 	26.2 	25.3 	35.0 	22.0 	30.5 	18.6
32 	Indianapolis 	27.5 	23.3 	30.0 	22.3 	32.7 	24.5
