4,Thu,September 28,Green Bay Packers,,Chicago Bears,35,14
4,Sun,October 1,New Orleans Saints,@,Miami Dolphins,20,0
4,Sun,October 1,Carolina Panthers,@,New England Patriots,33,30
4,Sun,October 1,Cincinnati Bengals,@,Cleveland Browns,31,7
4,Sun,October 1,Houston Texans,,Tennessee Titans,57,14
4,Sun,October 1,New York Jets,,Jacksonville Jaguars,23,20
4,Sun,October 1,Los Angeles Rams,@,Dallas Cowboys,35,30
4,Sun,October 1,Detroit Lions,@,Minnesota Vikings,14,7
4,Sun,October 1,Pittsburgh Steelers,@,Baltimore Ravens,26,9
4,Sun,October 1,Buffalo Bills,@,Atlanta Falcons,23,17
4,Sun,October 1,Arizona Cardinals,,San Francisco 49ers,18,15
4,Sun,October 1,Tampa Bay Buccaneers,,New York Giants,25,23
4,Sun,October 1,Philadelphia Eagles,@,Los Angeles Chargers,26,24
4,Sun,October 1,Denver Broncos,,Oakland Raiders,16,10
4,Sun,October 1,Seattle Seahawks,,Indianapolis Colts,46,18
4,Mon,October 2,Kansas City Chiefs,,Washington Redskins,29,20
