1 	Kansas City 	32.8 	31.7 	42.0 	28.0 	36.0 	23.8
2 	LA Rams 	30.4 	28.7 	10.0 	25.3 	38.0 	14.0
3 	New England 	29.6 	28.3 	19.0 	31.0 	27.5 	28.7
4 	Houston 	28.8 	41.3 	34.0 	32.7 	23.0 	17.9
5 	Jacksonville 	27.8 	31.3 	30.0 	16.0 	30.8 	19.9
6 	Green Bay 	27.4 	32.3 	35.0 	26.3 	29.0 	27.6
7 	Philadelphia 	27.4 	29.0 	34.0 	30.5 	25.3 	22.9
8 	Atlanta 	26.0 	27.0 	17.0 	25.5 	26.5 	34.1
9 	Dallas 	25.0 	29.7 	31.0 	26.7 	22.5 	26.6
10 	Detroit 	24.6 	21.3 	24.0 	28.3 	19.0 	20.7
11 	Denver 	24.5 	24.7 	16.0 	27.3 	16.0 	20.8
12 	New Orleans 	23.2 	24.7 	20.0 	20.0 	24.3 	29.3
13 	Washington 	22.8 	24.7 	20.0 	22.0 	23.5 	24.8
14 	Tennessee 	22.0 	19.0 	10.0 	24.5 	20.3 	23.8
15 	Seattle 	22.0 	29.7 	16.0 	29.0 	17.3 	22.2
16 	Oakland 	21.6 	12.3 	17.0 	31.0 	15.3 	25.3
17 	Tampa Bay 	21.2 	18.7 	14.0 	22.7 	17.0 	22.1
18 	Carolina 	21.0 	24.3 	27.0 	11.0 	27.7 	23.1
19 	Minnesota 	19.8 	20.3 	20.0 	23.3 	14.5 	20.4
20 	Pittsburgh 	19.8 	17.3 	9.0 	17.5 	21.3 	24.4
21 	LA Chargers 	19.8 	20.3 	27.0 	17.0 	24.0 	25.6
22 	Indianapolis 	19.4 	25.0 	26.0 	23.3 	13.5 	25.7
23 	NY Jets 	18.4 	20.0 	17.0 	21.5 	16.3 	17.2
24 	Baltimore 	18.0 	15.3 	30.0 	16.5 	19.0 	21.4
25 	San Francisco 	17.8 	25.7 	23.0 	21.0 	15.7 	19.3
26 	Buffalo 	17.8 	21.7 	16.0 	23.5 	14.0 	24.9
27 	Cincinnati 	16.8 	25.0 	20.0 	9.7 	27.5 	20.3
28 	NY Giants 	16.4 	23.0 	22.0 	16.0 	16.7 	19.0
29 	Arizona 	16.2 	14.0 	7.0 	17.5 	15.3 	26.1
30 	Chicago 	15.6 	18.0 	17.0 	19.0 	10.5 	17.4
31 	Cleveland 	15.4 	16.3 	14.0 	13.0 	19.0 	16.5
32 	Miami 	10.2 	7.3 	16.0 	16.0 	8.3 	22.1
